content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
👍,Positif,,,[],
sarana menerima dan memberikan informasi منتب,Positif,sarana menerima dan memberikan informasi ,sarana menerima informasi,"['sarana', 'menerima', 'informasi']",sarana terima informasi
bagus banget,Positif,bagus banget,bagus banget,"['bagus', 'banget']",bagus banget
Good job,Positif,good job,good job,"['good', 'job']",good job
Gara2 ini akun ig saya hilang asu,Negatif,gara ini akun ig saya hilang asu,gara akun ig hilang asu,"['gara', 'akun', 'ig', 'hilang', 'asu']",gara akun ig hilang asu
Cocok,Positif,cocok,cocok,['cocok'],cocok
Banyakin konten seksinya,Negatif,banyakin konten seksinya,banyakin konten seksinya,"['banyakin', 'konten', 'seksinya']",banyakin konten seksi
nice,Positif,nice,nice,['nice'],nice
Mires da tulis🙏🙏🙏,Positif,mires da tulis,mires da tulis,"['mires', 'da', 'tulis']",mires da tulis
Mantap,Positif,mantap,mantap,['mantap'],mantap
masih perlu di tingkatkan lg,Positif,masih perlu di tingkatkan lg,tingkatkan lg,"['tingkatkan', 'lg']",tingkat lg
Good,Positif,good,good,['good'],good
lumayan puassss,Positif,lumayan puassss,lumayan puassss,"['lumayan', 'puassss']",lumayan puassss
good,Positif,good,good,['good'],good
Pecahannya instagram kayaknya ini gess...,Positif,pecahannya instagram kayaknya ini gess,pecahannya instagram kayaknya gess,"['pecahannya', 'instagram', 'kayaknya', 'gess']",pecah instagram kayak gess
aplikasi nya oke siap lah 😁👌,Positif,aplikasi nya oke siap lah ,aplikasi nya oke,"['aplikasi', 'nya', 'oke']",aplikasi nya oke
"saya suka , terus semakin baik ya, slmt ultah treads",Positif,saya suka  terus semakin baik ya slmt ultah treads,suka ya slmt ultah treads,"['suka', 'ya', 'slmt', 'ultah', 'treads']",suka ya slmt ultah treads
"Nothing, rasanya saya malas berkomentar, tapi sejauh ini ini yang paling jauh udah itu aja🗿",Positif,nothing rasanya saya malas berkomentar tapi sejauh ini ini yang paling jauh udah itu aja,nothing malas berkomentar udah aja,"['nothing', 'malas', 'berkomentar', 'udah', 'aja']",nothing malas komentar udah aja
Heksadesimal Odwkvs kda dwipracaya,Positif,heksadesimal odwkvs kda dwipracaya,heksadesimal odwkvs kda dwipracaya,"['heksadesimal', 'odwkvs', 'kda', 'dwipracaya']",heksadesimal odwkvs kda dwipracaya
"gatau mau gimna, blm nyoba soalny",Positif,gatau mau gimna blm nyoba soalny,gatau gimna blm nyoba soalny,"['gatau', 'gimna', 'blm', 'nyoba', 'soalny']",gatau gimna blm nyoba soalny
Tingkatkan lagi,Positif,tingkatkan lagi,tingkatkan,['tingkatkan'],tingkat
Kren,Positif,kren,kren,['kren'],kren
"LEBIH LUAS &CEPAT ,KETEMU TEMAN"" JG SAUDARA""🇲🇨🌍",Positif,lebih luas cepat ketemu teman jg saudara,luas cepat ketemu teman jg saudara,"['luas', 'cepat', 'ketemu', 'teman', 'jg', 'saudara']",luas cepat ketemu teman jg saudara
Good,Positif,good,good,['good'],good
Mantap,Positif,mantap,mantap,['mantap'],mantap
bagus,Positif,bagus,bagus,['bagus'],bagus
Miakm,Negatif,miakm,miakm,['miakm'],miakm
"Bnyk gaya IG !!! Aplikasi ini sampah !!!!!!🤮🤮🤮🤮😡😡😡😡 bergurulah kau IG sama tiktok, tiktok tuh lebihhhh bagusssss !!!👍👍👍👍 IG aplikasi sampah!!!!",Negatif,bnyk gaya ig  aplikasi ini sampah  bergurulah kau ig sama tiktok tiktok tuh lebihhhh bagusssss  ig aplikasi sampah,bnyk gaya ig aplikasi sampah bergurulah kau ig tiktok tiktok tuh lebihhhh bagusssss ig aplikasi sampah,"['bnyk', 'gaya', 'ig', 'aplikasi', 'sampah', 'bergurulah', 'kau', 'ig', 'tiktok', 'tiktok', 'tuh', 'lebihhhh', 'bagusssss', 'ig', 'aplikasi', 'sampah']",bnyk gaya ig aplikasi sampah guru kau ig tiktok tiktok tuh lebihhhh bagusssss ig aplikasi sampah
Login akunya lama min wkwk,Negatif,login akunya lama min wkwk,login akunya min wkwk,"['login', 'akunya', 'min', 'wkwk']",login aku min wkwk
Ok,Positif,ok,ok,['ok'],ok
baik,Positif,baik,,[],
threads penuh isinya dengan kaum hawa jadi saya menikmati unggahannya 😊,Positif,threads penuh isinya dengan kaum hawa jadi saya menikmati unggahannya ,threads penuh isinya kaum hawa menikmati unggahannya,"['threads', 'penuh', 'isinya', 'kaum', 'hawa', 'menikmati', 'unggahannya']",threads penuh isi kaum hawa nikmat unggah
"Suka sekali, user friendly.",Positif,suka sekali user friendly,suka user friendly,"['suka', 'user', 'friendly']",suka user friendly
Menarik,Positif,menarik,menarik,['menarik'],tarik
Oke,Negatif,oke,oke,['oke'],oke
"Baru setahun threads muncul sudah banyak pengguna. Aplikasi belum banyak iklan, mungkin nanti beda lagi.",Positif,baru setahun threads muncul sudah banyak pengguna aplikasi belum banyak iklan mungkin nanti beda lagi,setahun threads muncul pengguna aplikasi iklan beda,"['setahun', 'threads', 'muncul', 'pengguna', 'aplikasi', 'iklan', 'beda']",tahun threads muncul guna aplikasi iklan beda
Selamat 🥳🎂,Positif,selamat ,selamat,['selamat'],selamat
baguss,Positif,baguss,baguss,['baguss'],baguss
Atap,Positif,atap,atap,['atap'],atap
bagus,Positif,bagus,bagus,['bagus'],bagus
Seru......!!!,Positif,seru,seru,['seru'],seru
"Baru buat akun, baru donlod, eh di tangguhkan. Aplkiasi konto",Negatif,baru buat akun baru donlod eh di tangguhkan aplkiasi konto,akun donlod eh tangguhkan aplkiasi konto,"['akun', 'donlod', 'eh', 'tangguhkan', 'aplkiasi', 'konto']",akun donlod eh tangguh aplkiasi konto
Keren,Positif,keren,keren,['keren'],keren
good,Positif,good,good,['good'],good
the best,Positif,the best,the best,"['the', 'best']",the best
Good,Positif,good,good,['good'],good
Bagus bageet,Positif,bagus bageet,bagus bageet,"['bagus', 'bageet']",bagus bageet
bgus,Positif,bgus,bgus,['bgus'],bgus
sangat baik tingkatkan lagi. buat akun saya lebih viral #viral,Positif,sangat baik tingkatkan lagi buat akun saya lebih viral viral,tingkatkan akun viral viral,"['tingkatkan', 'akun', 'viral', 'viral']",tingkat akun viral viral
"Balikin flipside, bah",Positif,balikin flipside bah,balikin flipside bah,"['balikin', 'flipside', 'bah']",balikin flipside bah
aplikasi buangsad,Negatif,aplikasi buangsad,aplikasi buangsad,"['aplikasi', 'buangsad']",aplikasi buangsad
lumayan teman segala suasana,Positif,lumayan teman segala suasana,lumayan teman suasana,"['lumayan', 'teman', 'suasana']",lumayan teman suasana
Good,Negatif,good,good,['good'],good
"seni, mantap, jempol, harus instal sih buat kalian yang belum instal",Positif,seni mantap jempol harus instal sih buat kalian yang belum instal,seni mantap jempol instal sih instal,"['seni', 'mantap', 'jempol', 'instal', 'sih', 'instal']",seni mantap jempol instal sih instal
good job,Positif,good job,good job,"['good', 'job']",good job
Saya memuaskan,Positif,saya memuaskan,memuaskan,['memuaskan'],muas
Ok,Positif,ok,ok,['ok'],ok
"Enak aja baca threads ,banyak tulisan bagus.Nambah ilmu,perbaiki ahlak diri",Positif,enak aja baca threads banyak tulisan bagusnambah ilmuperbaiki ahlak diri,enak aja baca threads tulisan bagusnambah ilmuperbaiki ahlak,"['enak', 'aja', 'baca', 'threads', 'tulisan', 'bagusnambah', 'ilmuperbaiki', 'ahlak']",enak aja baca threads tulis bagusnambah ilmuperbaiki ahlak
"mengapa aetelah main threads, akun ig yg terhubung dengan threads selalu kena penangguhan tanpa alasan yg jelas. banyaknya yg likes karena utasanku, banyak yg follow dan komen di utasanku apakah itu jadi masalah? kalau sekiranya jdi masalah lebih baik hilangkan saja fitur likes, komen dan buat utasan baru. serta sistem mendeteksi kata"" yg dianngap itu sebagai kata kasar, sedangkan kata apalagi yg digunakan untuk bercanda terhadap kenalan di threads?",Negatif,mengapa aetelah main threads akun ig yg terhubung dengan threads selalu kena penangguhan tanpa alasan yg jelas banyaknya yg likes karena utasanku banyak yg follow dan komen di utasanku apakah itu jadi masalah kalau sekiranya jdi masalah lebih baik hilangkan saja fitur likes komen dan buat utasan baru serta sistem mendeteksi kata yg dianngap itu sebagai kata kasar sedangkan kata apalagi yg digunakan untuk bercanda terhadap kenalan di threads,aetelah main threads akun ig yg terhubung threads kena penangguhan alasan yg banyaknya yg likes utasanku yg follow komen utasanku jdi hilangkan fitur likes komen utasan sistem mendeteksi yg dianngap kasar yg bercanda kenalan threads,"['aetelah', 'main', 'threads', 'akun', 'ig', 'yg', 'terhubung', 'threads', 'kena', 'penangguhan', 'alasan', 'yg', 'banyaknya', 'yg', 'likes', 'utasanku', 'yg', 'follow', 'komen', 'utasanku', 'jdi', 'hilangkan', 'fitur', 'likes', 'komen', 'utasan', 'sistem', 'mendeteksi', 'yg', 'dianngap', 'kasar', 'yg', 'bercanda', 'kenalan', 'threads']",aetelah main threads akun ig yg hubung threads kena tangguh alas yg banyak yg likes utas yg follow komen utas jdi hilang fitur likes komen utas sistem deteksi yg dianngap kasar yg canda kenal threads
mantapkan,Positif,mantapkan,mantapkan,['mantapkan'],mantap
keren,Positif,keren,keren,['keren'],keren
Saaaaaangaaat mantap sekali,Positif,saaaaaangaaat mantap sekali,saaaaaangaaat mantap,"['saaaaaangaaat', 'mantap']",saaaaaangaaat mantap
thread saya tidak ada titik 3 untuk menghapus komentar,Negatif,thread saya tidak ada titik  untuk menghapus komentar,thread titik menghapus komentar,"['thread', 'titik', 'menghapus', 'komentar']",thread titik hapus komentar
Kapan ada fitur read aloud seperti aplikasi lain? Terkadang saya tidak fokus membaca dan ingin mendengar saja.,Positif,kapan ada fitur read aloud seperti aplikasi lain terkadang saya tidak fokus membaca dan ingin mendengar saja,fitur read aloud aplikasi terkadang fokus membaca mendengar,"['fitur', 'read', 'aloud', 'aplikasi', 'terkadang', 'fokus', 'membaca', 'mendengar']",fitur read aloud aplikasi terkadang fokus baca dengar
Good luck 🍀,Positif,good luck ,good luck,"['good', 'luck']",good luck
"Setiap Manusia yang memiliki Jiwa Seni ia memiliki ide Kreatif yang Cukup Banyak. Namun saat jiwa dan pikiran nya terganggu oleh sebuah peristiwa, maka ia akan terfokus dalam mendeteksi peristiwa tersebut, dan kreativitas yang awal di lakukan nya akan terhenti. namun yang pasti ia akan menemukan ide baru dalam menghadapi Peristiwa tersebut. tapi bagaimana bisa ia menemukan kreativitas ide nya sementara ia dalam masalah?? mmmmm.. karena ia menganggap di balik peristiwa itu ada Hikmahnya",Positif,setiap manusia yang memiliki jiwa seni ia memiliki ide kreatif yang cukup banyak namun saat jiwa dan pikiran nya terganggu oleh sebuah peristiwa maka ia akan terfokus dalam mendeteksi peristiwa tersebut dan kreativitas yang awal di lakukan nya akan terhenti namun yang pasti ia akan menemukan ide baru dalam menghadapi peristiwa tersebut tapi bagaimana bisa ia menemukan kreativitas ide nya sementara ia dalam masalah mmmmm karena ia menganggap di balik peristiwa itu ada hikmahnya,manusia memiliki jiwa seni memiliki ide kreatif jiwa pikiran nya terganggu peristiwa terfokus mendeteksi peristiwa kreativitas lakukan nya terhenti menemukan ide menghadapi peristiwa menemukan kreativitas ide nya mmmmm menganggap peristiwa hikmahnya,"['manusia', 'memiliki', 'jiwa', 'seni', 'memiliki', 'ide', 'kreatif', 'jiwa', 'pikiran', 'nya', 'terganggu', 'peristiwa', 'terfokus', 'mendeteksi', 'peristiwa', 'kreativitas', 'lakukan', 'nya', 'terhenti', 'menemukan', 'ide', 'menghadapi', 'peristiwa', 'menemukan', 'kreativitas', 'ide', 'nya', 'mmmmm', 'menganggap', 'peristiwa', 'hikmahnya']",manusia milik jiwa seni milik ide kreatif jiwa pikir nya ganggu peristiwa fokus deteksi peristiwa kreativitas laku nya henti temu ide hadap peristiwa temu kreativitas ide nya mmmmm anggap peristiwa hikmah
"Halo kak saya pengguna baru di sini, gimana ya caranya lihat komentar dipostingan orang lain maupun di postingan sendiri?..",Positif,halo kak saya pengguna baru di sini gimana ya caranya lihat komentar dipostingan orang lain maupun di postingan sendiri,halo kak pengguna gimana ya lihat komentar dipostingan orang postingan,"['halo', 'kak', 'pengguna', 'gimana', 'ya', 'lihat', 'komentar', 'dipostingan', 'orang', 'postingan']",halo kak guna gimana ya lihat komentar dipostingan orang postingan
Baru coba,Positif,baru coba,coba,['coba'],coba
Lumayan bagus pertahankan keamanan penggunanya,Positif,lumayan bagus pertahankan keamanan penggunanya,lumayan bagus pertahankan keamanan penggunanya,"['lumayan', 'bagus', 'pertahankan', 'keamanan', 'penggunanya']",lumayan bagus tahan aman guna
Mantap,Positif,mantap,mantap,['mantap'],mantap
nice,Positif,nice,nice,['nice'],nice
keren,Positif,keren,keren,['keren'],keren
Asu,Negatif,asu,asu,['asu'],asu
👍👍,Positif,,,[],
ok,Positif,ok,ok,['ok'],ok
sangat senang,Positif,sangat senang,senang,['senang'],senang
aplikasi terbaik dan simple,Positif,aplikasi terbaik dan simple,aplikasi terbaik simple,"['aplikasi', 'terbaik', 'simple']",aplikasi baik simple
Plissss demi apa ini apk bgs bgt followers gw 1 minggu bisa nambah 500 😽👊,Positif,plissss demi apa ini apk bgs bgt followers gw  minggu bisa nambah  ,plissss apk bgs bgt followers gw minggu nambah,"['plissss', 'apk', 'bgs', 'bgt', 'followers', 'gw', 'minggu', 'nambah']",plissss apk bgs bgt followers gw minggu nambah
ok,Positif,ok,ok,['ok'],ok
Baru saja gabung di Threads sementara masih bingung untuk melihat postingan,Positif,baru saja gabung di threads sementara masih bingung untuk melihat postingan,gabung threads bingung postingan,"['gabung', 'threads', 'bingung', 'postingan']",gabung threads bingung postingan
bagus banget sukaaa 😍💗,Positif,bagus banget sukaaa ,bagus banget sukaaa,"['bagus', 'banget', 'sukaaa']",bagus banget sukaaa
"overall good, gw sih minta adakan fitur list kyk sebelah agar konten lebih terorganisir",Positif,overall good gw sih minta adakan fitur list kyk sebelah agar konten lebih terorganisir,overall good gw sih adakan fitur list kyk sebelah konten terorganisir,"['overall', 'good', 'gw', 'sih', 'adakan', 'fitur', 'list', 'kyk', 'sebelah', 'konten', 'terorganisir']",overall good gw sih adakan fitur list kyk belah konten organisir
Mantap betul,Positif,mantap betul,mantap,['mantap'],mantap
terbaik Aplikasi ini Threads semoga kedepannya bisa lebih baik lagi...,Positif,terbaik aplikasi ini threads semoga kedepannya bisa lebih baik lagi,terbaik aplikasi threads semoga kedepannya,"['terbaik', 'aplikasi', 'threads', 'semoga', 'kedepannya']",baik aplikasi threads moga depan
lumayan baik hampir mirip dengan Twitter..,Positif,lumayan baik hampir mirip dengan twitter,lumayan twitter,"['lumayan', 'twitter']",lumayan twitter
top,Positif,top,top,['top'],top
Gabisa ganti foto profil,Negatif,gabisa ganti foto profil,gabisa ganti foto profil,"['gabisa', 'ganti', 'foto', 'profil']",gabisa ganti foto profil
keren,Positif,keren,keren,['keren'],keren
"Saya baru bergabung, tapi saya lihat ini sangat baik. Sukses selalu",Positif,saya baru bergabung tapi saya lihat ini sangat baik sukses selalu,bergabung lihat sukses,"['bergabung', 'lihat', 'sukses']",gabung lihat sukses
ol,Positif,ol,ol,['ol'],ol
keren,Positif,keren,keren,['keren'],keren
"Low toxic contents, love it",Positif,low toxic contents love it,low toxic contents love it,"['low', 'toxic', 'contents', 'love', 'it']",low toxic contents love it
Terimakasih,Positif,terimakasih,terimakasih,['terimakasih'],terimakasih
Lumayan,Positif,lumayan,lumayan,['lumayan'],lumayan
Ok,Positif,ok,ok,['ok'],ok
Singkat padat,Positif,singkat padat,singkat padat,"['singkat', 'padat']",singkat padat
Cukup Bagus .,Positif,cukup bagus ,bagus,['bagus'],bagus
Mantap yg ditampilkan,Positif,mantap yg ditampilkan,mantap yg ditampilkan,"['mantap', 'yg', 'ditampilkan']",mantap yg tampil
Sangat Bagus tidak ada kendala,Positif,sangat bagus tidak ada kendala,bagus kendala,"['bagus', 'kendala']",bagus kendala
Mantap,Positif,mantap,mantap,['mantap'],mantap
Oke,Positif,oke,oke,['oke'],oke
suka,Positif,suka,suka,['suka'],suka
Baik ...membantu kita lebih banyak kenal orang2 yg berkualitas dibidangnya,Positif,baik membantu kita lebih banyak kenal orang yg berkualitas dibidangnya,membantu kenal orang yg berkualitas dibidangnya,"['membantu', 'kenal', 'orang', 'yg', 'berkualitas', 'dibidangnya']",bantu kenal orang yg kualitas bidang
"Saya buat akun untuk organisasi pas log in kok langsung suspend min, solusinya gimana?",Negatif,saya buat akun untuk organisasi pas log in kok langsung suspend min solusinya gimana,akun organisasi pas log in langsung suspend min solusinya gimana,"['akun', 'organisasi', 'pas', 'log', 'in', 'langsung', 'suspend', 'min', 'solusinya', 'gimana']",akun organisasi pas log in langsung suspend min solusi gimana
Bagus Terimakasih... 🙏,Positif,bagus terimakasih ,bagus terimakasih,"['bagus', 'terimakasih']",bagus terimakasih
Saya bisa aman bila ngobrol di sini,Positif,saya bisa aman bila ngobrol di sini,aman ngobrol,"['aman', 'ngobrol']",aman ngobrol
Sangat baik,Positif,sangat baik,,[],
"Kurang bagus, tidak bisa menampilkan postingan di Treads ,sudah di coba di Instagram pun sulit keluar postingan gambar ...",Negatif,kurang bagus tidak bisa menampilkan postingan di treads sudah di coba di instagram pun sulit keluar postingan gambar ,bagus menampilkan postingan treads coba instagram sulit postingan gambar,"['bagus', 'menampilkan', 'postingan', 'treads', 'coba', 'instagram', 'sulit', 'postingan', 'gambar']",bagus tampil postingan treads coba instagram sulit postingan gambar
Sampah,Negatif,sampah,sampah,['sampah'],sampah
siip,Positif,siip,siip,['siip'],siip
nicee,Positif,nicee,nicee,['nicee'],nicee
Mantap👍,Positif,mantap,mantap,['mantap'],mantap
mantap... menambah teman serta wawasan...👍👍👍,Positif,mantap menambah teman serta wawasan,mantap menambah teman wawasan,"['mantap', 'menambah', 'teman', 'wawasan']",mantap tambah teman wawas
👍👍,Positif,,,[],
bagus cuma algoritma nya belum optimal. selebihnya bagus,Positif,bagus cuma algoritma nya belum optimal selebihnya bagus,bagus algoritma nya optimal selebihnya bagus,"['bagus', 'algoritma', 'nya', 'optimal', 'selebihnya', 'bagus']",bagus algoritma nya optimal lebih bagus
lumayanlah,Positif,lumayanlah,lumayanlah,['lumayanlah'],lumayan
ada yg baru nih,Positif,ada yg baru nih,yg nih,"['yg', 'nih']",yg nih
lebih difilter lgi ya klo ada yg modus penipuan di aplikasi ini..,Positif,lebih difilter lgi ya klo ada yg modus penipuan di aplikasi ini,difilter lgi ya klo yg modus penipuan aplikasi,"['difilter', 'lgi', 'ya', 'klo', 'yg', 'modus', 'penipuan', 'aplikasi']",filter lgi ya klo yg modus tipu aplikasi
berhasil bunuh twitter,Positif,berhasil bunuh twitter,berhasil bunuh twitter,"['berhasil', 'bunuh', 'twitter']",hasil bunuh twitter
Bagus,Positif,bagus,bagus,['bagus'],bagus
Good,Positif,good,good,['good'],good
Aku bisa dapat cuan dari threads🕺,Positif,aku bisa dapat cuan dari threads,cuan threads,"['cuan', 'threads']",cuan threads
Alhamdulillah senang bisa gabung di trend dan pertama pakai trend bingung sendiri cara liat postingan. Alhamdulillah sekarang udh paham dan semoga aplikasi trend bisa jadi inspirasi untuk pengguna lain 🤲🙏,Positif,alhamdulillah senang bisa gabung di trend dan pertama pakai trend bingung sendiri cara liat postingan alhamdulillah sekarang udh paham dan semoga aplikasi trend bisa jadi inspirasi untuk pengguna lain ,alhamdulillah senang gabung trend pakai trend bingung liat postingan alhamdulillah udh paham semoga aplikasi trend inspirasi pengguna,"['alhamdulillah', 'senang', 'gabung', 'trend', 'pakai', 'trend', 'bingung', 'liat', 'postingan', 'alhamdulillah', 'udh', 'paham', 'semoga', 'aplikasi', 'trend', 'inspirasi', 'pengguna']",alhamdulillah senang gabung trend pakai trend bingung liat postingan alhamdulillah udh paham moga aplikasi trend inspirasi guna
Lumayan,Negatif,lumayan,lumayan,['lumayan'],lumayan
🙏🙏🙏 bagus,Positif, bagus,bagus,['bagus'],bagus
Good luck,Positif,good luck,good luck,"['good', 'luck']",good luck
asiipppp,Positif,asiipppp,asiipppp,['asiipppp'],asiipppp
