userName,score,at,content
Hendra Riady,5,2024-07-15 09:36:44,Cool
Atjo Kamal,5,2024-07-15 08:59:57,mantap👍👍👍
Tojang Idris,5,2024-07-15 08:33:58,Good
Hendy Lukmanto,5,2024-07-15 06:45:49,Bagus
Widhi hariyanto Hariyanto,5,2024-07-15 06:36:06,Mantap
grace fitricia,5,2024-07-15 05:49:06,buka threads dapat mengembangkan Wawasan dan literasi
New Infinix,5,2024-07-15 04:20:46,Bagus bgt
DH4ni Dani,5,2024-07-15 03:33:01,MantaPpP.
Asmawati Tjitju,5,2024-07-14 21:43:16,aplikasi keren
Achmad Muchlis,5,2024-07-14 21:13:59,mantab interaksi lsg mesqi ada tempo stlh posting terlebih @ig berat sinyalnya ...btw jozzz lah ujian sabar 💪🏻🙏🏻🎬
Syawaluddin Rizal Siagian,5,2024-07-14 18:56:18,Semoga dapat menjalin silaturahmi buat saudara yang lainnya
Fsris Naim,5,2024-07-14 18:21:44,Ok
Rohim Palopo,5,2024-07-14 16:36:02,Sangatlah bagus aplikasi ini
Siri' Na Pacce T.M.S.P Team,4,2024-07-14 16:30:44,Masih Kurang Paham Cara Pakenya!🙏
β,2,2024-07-14 15:46:16,FUNGSINYA?
SURIYO Yo,5,2024-07-14 11:45:01,SURIYO lahirtgl/Sabtu/1971
Luki Lgm,5,2024-07-14 11:39:52,madep
M.Fahirotul Iqbal Pajri,5,2024-07-14 10:45:06,Nice
Meliana Aryani,5,2024-07-14 06:50:47,"APK nya bagus sich, cuma jarang di gunain jadi temennya cuma sedikit."
journey bgp9911b,5,2024-07-14 05:37:22,good
giri prakoso,4,2024-07-14 05:05:58,Siiip
Bertha Operawiri Jr,5,2024-07-14 04:11:23,Sangat Bagus
Budi Surya,5,2024-07-14 02:59:52,Bagus dan Aku Suka😎
Maryatul qibtiyah,3,2024-07-14 01:58:13,puas
Ayoe Arini,1,2024-07-14 00:53:04,Dah 3x install ulang. Kenapa sih gapernah muncul komen orang sampe harus uninstall dan install ulang agar muncul lagi komenan orang?
Meri Eka Putri,5,2024-07-13 23:16:48,M3mbaca pengalaman teman2 dengan cerita masing2
Hyanto Mujiharjono,3,2024-07-13 22:51:15,Coba
Maspal,4,2024-07-13 19:59:40,Nice
Omagung Polres,5,2024-07-13 18:56:53,Menyenangkan...
Sri Murtianingsih,5,2024-07-13 18:12:05,Kok malah ilang
Gadis melliana,5,2024-07-13 16:37:44,Suka
Daniel Santosa,5,2024-07-13 15:58:48,I need my account to monetize please hehehe
Alisa Nada,5,2024-07-13 14:39:00,Ok
Wawan Setiawan,5,2024-07-13 13:44:43,aplikasi bagus untuk cari teman
Rosidah Rosidah,5,2024-07-13 13:27:10,Bagus banget
Suntiya Khoirotul,4,2024-07-13 12:42:23,Kisah kehidupan
Aries Udiawan,5,2024-07-13 11:53:34,👍
Game Master,5,2024-07-13 11:47:53,sarana menerima dan memberikan informasi منتب
Syaiful Amri,5,2024-07-13 11:40:24,bagus banget
Syafrudin Syafrudin,5,2024-07-13 10:57:18,Good job
Risky Sahrul,1,2024-07-13 09:41:57,Gara2 ini akun ig saya hilang asu
Zein Zein,5,2024-07-13 09:02:29,Cocok
Tangkas Wicaksono,1,2024-07-13 07:08:38,Banyakin konten seksinya
Ripto Kuswoyo,5,2024-07-13 02:13:05,nice
nazar abitiya3816,5,2024-07-13 01:00:41,Mires da tulis🙏🙏🙏
Mis war,5,2024-07-12 19:33:24,Mantap
zullubis 103,4,2024-07-12 19:03:15,masih perlu di tingkatkan lg
Mom Kembar Karo-Korea,4,2024-07-12 17:46:01,Good
BangNabil GH,5,2024-07-12 17:08:29,lumayan puassss
rin tin tin,5,2024-07-12 15:01:51,good
DididTandung WijayaAmir,5,2024-07-12 14:58:15,Pecahannya instagram kayaknya ini gess...
Selamet Jaya fram,5,2024-07-12 13:46:53,aplikasi nya oke siap lah 😁👌
Andriyati Arifin,5,2024-07-12 13:33:47,"saya suka , terus semakin baik ya, slmt ultah treads"
Harris Devano,5,2024-07-12 13:08:41,"Nothing, rasanya saya malas berkomentar, tapi sejauh ini ini yang paling jauh udah itu aja🗿"
OQSODS,5,2024-07-12 12:40:43,Heksadesimal Odwkvs kda dwipracaya
Ainun Zahria Salsabila,5,2024-07-12 11:45:23,"gatau mau gimna, blm nyoba soalny"
iosss suxxx,4,2024-07-12 10:33:56,Tingkatkan lagi
Abdul Latif,4,2024-07-12 04:45:59,Kren
Nur Patimah,5,2024-07-12 03:09:42,"LEBIH LUAS &CEPAT ,KETEMU TEMAN"" JG SAUDARA""🇲🇨🌍"
Ilyas Muhadji,5,2024-07-12 02:25:36,Good
Opa Kaira,5,2024-07-12 02:01:30,Mantap
Dianitha Ariella,4,2024-07-12 00:10:56,bagus
Watora watora Watora watora,1,2024-07-11 23:47:43,Miakm
FATIMAH FEBRIANA,1,2024-07-11 18:51:46,"Bnyk gaya IG !!! Aplikasi ini sampah !!!!!!🤮🤮🤮🤮😡😡😡😡 bergurulah kau IG sama tiktok, tiktok tuh lebihhhh bagusssss !!!👍👍👍👍 IG aplikasi sampah!!!!"
Refand SlowbassKane,2,2024-07-11 17:24:57,Login akunya lama min wkwk
BANG PAUNK,5,2024-07-11 17:17:33,Ok
Ani Syaokani,5,2024-07-11 16:22:05,baik
nadiman atmorejo,5,2024-07-11 15:10:40,threads penuh isinya dengan kaum hawa jadi saya menikmati unggahannya 😊
Joka Poerbianto,5,2024-07-11 14:08:20,"Suka sekali, user friendly."
Fahma Syarifa,5,2024-07-11 11:40:13,Menarik
Zumardin saja,2,2024-07-11 09:47:12,Oke
Widia Astuti,5,2024-07-11 09:05:12,"Baru setahun threads muncul sudah banyak pengguna. Aplikasi belum banyak iklan, mungkin nanti beda lagi."
Adin Makiez,5,2024-07-11 08:53:07,Selamat 🥳🎂
Anita Rahayu,5,2024-07-11 08:08:59,baguss
Junianto Nababan,5,2024-07-11 06:50:04,Atap
Made Suwena,5,2024-07-11 00:28:57,bagus
Kokom Komalasari,5,2024-07-10 23:45:01,Seru......!!!
Zyn Esthetic,1,2024-07-10 22:33:15,"Baru buat akun, baru donlod, eh di tangguhkan. Aplkiasi konto"
Utsukushi Rizmi,5,2024-07-10 19:37:50,Keren
vieya holiday,5,2024-07-10 16:33:46,good
vera wihda,5,2024-07-10 15:35:26,the best
Jhoo Kawer,5,2024-07-10 15:22:37,Good
Quddus Abdulqudus,5,2024-07-10 14:33:13,Bagus bageet
nabill abyu,4,2024-07-10 14:26:14,bgus
Hasrat Adilase,5,2024-07-10 13:10:52,sangat baik tingkatkan lagi. buat akun saya lebih viral #viral
Smnthaa,5,2024-07-10 12:51:18,"Balikin flipside, bah"
Aulia Ya,1,2024-07-10 12:06:20,aplikasi buangsad
Nita Lestari,4,2024-07-10 10:06:47,lumayan teman segala suasana
Rama Dani,1,2024-07-10 09:32:49,Good
Rudys Tira88,5,2024-07-10 09:13:17,"seni, mantap, jempol, harus instal sih buat kalian yang belum instal"
Abdul Azis,5,2024-07-10 07:36:17,good job
Vin Son,5,2024-07-10 07:03:42,Saya memuaskan
frans evelyn,5,2024-07-10 06:38:05,Ok
Manggemangge Mangge,3,2024-07-10 03:43:54,Mencoba
NurHayah AlyaNur,5,2024-07-10 01:08:10,"Enak aja baca threads ,banyak tulisan bagus.Nambah ilmu,perbaiki ahlak diri"
Soft Zone,1,2024-07-10 00:32:03,"mengapa aetelah main threads, akun ig yg terhubung dengan threads selalu kena penangguhan tanpa alasan yg jelas. banyaknya yg likes karena utasanku, banyak yg follow dan komen di utasanku apakah itu jadi masalah? kalau sekiranya jdi masalah lebih baik hilangkan saja fitur likes, komen dan buat utasan baru. serta sistem mendeteksi kata"" yg dianngap itu sebagai kata kasar, sedangkan kata apalagi yg digunakan untuk bercanda terhadap kenalan di threads?"
Dadang Suryana,5,2024-07-09 22:08:38,mantapkan
Anoriyan Yusuf,5,2024-07-09 17:02:38,keren
Chombat,3,2024-07-09 14:30:55,"Kasih dulu bintang ,3"
Nizzar Bhilowo,5,2024-07-09 13:00:08,Saaaaaangaaat mantap sekali
renken,1,2024-07-09 12:53:03,thread saya tidak ada titik 3 untuk menghapus komentar
NattoPedia,4,2024-07-09 11:51:46,Kapan ada fitur read aloud seperti aplikasi lain? Terkadang saya tidak fokus membaca dan ingin mendengar saja.
Ketut Adiane,5,2024-07-09 10:48:01,Good luck 🍀
Alex Penyiar Oficial,5,2024-07-09 09:57:29,"Setiap Manusia yang memiliki Jiwa Seni ia memiliki ide Kreatif yang Cukup Banyak. Namun saat jiwa dan pikiran nya terganggu oleh sebuah peristiwa, maka ia akan terfokus dalam mendeteksi peristiwa tersebut, dan kreativitas yang awal di lakukan nya akan terhenti. namun yang pasti ia akan menemukan ide baru dalam menghadapi Peristiwa tersebut. tapi bagaimana bisa ia menemukan kreativitas ide nya sementara ia dalam masalah?? mmmmm.. karena ia menganggap di balik peristiwa itu ada Hikmahnya"
Aldi Anto,4,2024-07-09 09:51:26,"Halo kak saya pengguna baru di sini, gimana ya caranya lihat komentar dipostingan orang lain maupun di postingan sendiri?.."
Samsul Anwar,5,2024-07-09 05:54:01,Baru coba
muszlim abdi,4,2024-07-09 05:34:53,Lumayan bagus pertahankan keamanan penggunanya
Zul Aja,5,2024-07-09 04:11:31,Mantap
Adrian Dwi Anggara,4,2024-07-09 01:19:42,nice
Zainudin Zain,5,2024-07-09 00:38:26,keren
Kacank 86,1,2024-07-08 23:10:22,Asu
Piter Na'u,5,2024-07-08 18:58:42,👍👍
RYAN ADI MUSTAFA,5,2024-07-08 17:52:22,ok
Baden Dafa,5,2024-07-08 14:36:26,sangat senang
Alfandri Ivanz,5,2024-07-08 14:02:32,aplikasi terbaik dan simple
Nanaa Cuyy,5,2024-07-08 13:25:38,Plissss demi apa ini apk bgs bgt followers gw 1 minggu bisa nambah 500 😽👊
Ccepi goler Goler,4,2024-07-08 11:31:38,ok
M. Aesar,5,2024-07-08 11:29:55,Baru saja gabung di Threads sementara masih bingung untuk melihat postingan
Jatinom,5,2024-07-08 10:53:25,bagus banget sukaaa 😍💗
Midëvalla Eirën,5,2024-07-08 10:21:20,"overall good, gw sih minta adakan fitur list kyk sebelah agar konten lebih terorganisir"
R Sugih Wibowo,5,2024-07-08 09:20:38,Mantap betul
Zaydan Zaydan,5,2024-07-08 08:18:24,terbaik Aplikasi ini Threads semoga kedepannya bisa lebih baik lagi...
Okiess Beerry,4,2024-07-08 08:05:24,lumayan baik hampir mirip dengan Twitter..
afif kangtemon,5,2024-07-08 07:42:09,top
qurrotul aini,2,2024-07-08 01:57:50,Gabisa ganti foto profil
Jenly Ngelo,5,2024-07-08 01:14:37,keren
Sandranita Umar,5,2024-07-08 01:12:34,"Saya baru bergabung, tapi saya lihat ini sangat baik. Sukses selalu"
Amir ALF,5,2024-07-07 23:08:21,ol
Udayana Channel,5,2024-07-07 19:21:07,keren
Robby Andreas,5,2024-07-07 17:38:06,"Low toxic contents, love it"
muqsith,5,2024-07-07 15:55:03,Terimakasih
Bambang Suwignyo,5,2024-07-07 14:35:14,Lumayan
Yosep Agung,4,2024-07-07 14:17:33,Ok
Agung Comsel,4,2024-07-07 14:14:36,Singkat padat
Satria Mega Mega,5,2024-07-07 12:24:41,Cukup Bagus .
Flora Paat,5,2024-07-07 12:19:39,Mantap yg ditampilkan
Wahyu Ramadhani,5,2024-07-07 11:56:37,Sangat Bagus tidak ada kendala
Oscar Neccolas (Preman insaf82),5,2024-07-07 11:54:44,Mantap
Dalwan Rawy,5,2024-07-07 11:19:10,Oke
rizal rizal,5,2024-07-07 10:15:32,suka
Slamet Sudi santoso,4,2024-07-07 09:24:06,Baik ...membantu kita lebih banyak kenal orang2 yg berkualitas dibidangnya
HARIS SHOFIUDIN,1,2024-07-07 09:12:53,"Saya buat akun untuk organisasi pas log in kok langsung suspend min, solusinya gimana?"
Siti Fatonah Fatonah,5,2024-07-07 07:09:06,Bagus Terimakasih... 🙏
Rudi Yanto,5,2024-07-07 06:02:20,Saya bisa aman bila ngobrol di sini
Syahruddin Rudi,5,2024-07-07 04:01:21,Sangat baik
Ratih Dery,1,2024-07-07 03:59:38,"Kurang bagus, tidak bisa menampilkan postingan di Treads ,sudah di coba di Instagram pun sulit keluar postingan gambar ..."
Arwin Hariyadi,1,2024-07-07 02:32:01,Sampah
joni hendra (hendra),3,2024-07-07 01:12:30,baik
Didik,5,2024-07-07 00:47:49,siip
Yuven Daur,5,2024-07-06 23:52:07,nicee
Tatang Muhtar,5,2024-07-06 22:47:38,Mantap👍
Black Z250,5,2024-07-06 19:10:53,mantap... menambah teman serta wawasan...👍👍👍
Cik yadi Yadi,5,2024-07-06 17:01:59,👍👍
Athar Ahdani,5,2024-07-06 15:11:47,bagus cuma algoritma nya belum optimal. selebihnya bagus
Gita Putri,4,2024-07-06 13:48:24,lumayanlah
dodi san,5,2024-07-06 13:34:57,ada yg baru nih
Anak Desa Lio,5,2024-07-06 12:31:36,lebih difilter lgi ya klo ada yg modus penipuan di aplikasi ini..
Ka Fathurr,5,2024-07-06 12:05:38,berhasil bunuh twitter
Ziadatul Munawaroh,4,2024-07-06 10:25:08,Bagus
arya amstrong,5,2024-07-06 09:47:00,Good
R I F K I,5,2024-07-06 08:39:02,Aku bisa dapat cuan dari threads🕺
Dwi Andriani,5,2024-07-06 08:24:14,Alhamdulillah senang bisa gabung di trend dan pertama pakai trend bingung sendiri cara liat postingan. Alhamdulillah sekarang udh paham dan semoga aplikasi trend bisa jadi inspirasi untuk pengguna lain 🤲🙏
Gallery Official,2,2024-07-06 06:24:57,Lumayan
Gede Nyoman Dibiantara,5,2024-07-06 03:17:11,🙏🙏🙏 bagus
Honorata Rambu Anna Djawa,5,2024-07-06 02:46:55,Good luck
Andrie Taufan,5,2024-07-06 01:35:42,asiipppp
Eka Ritma Ardani,1,2024-07-05 23:30:14,Sejak instal & aktif buat threads setiap 2 atau 3 hari ig langsung ga bisa dibuka. Udah verifikasi berkali² pake no hp tetep gagal. Saya kecewa sekali padahal konten di threads bukan konten sensitif. Sekarang baik akun instagram ataupun threads gak ada yg bisa dibuka. Menyebalkan sekali
Muflihun Lihun,5,2024-07-05 23:20:53,Saya merasa bersyukur dengan aplikasi ini karyaku jadi di kenal dunia
Teguh Susanto,5,2024-07-05 19:08:58,Sangat cocok
Hasbi Muhammadasidqi,5,2024-07-05 18:25:35,Baguss lahhh
Siti heni Afifah,5,2024-07-05 11:03:38,Sangat bagus
Na Ina,2,2024-07-05 08:29:18,Saya mendonlot aplikasi ini knapa akun ig saya ilang knapa yh??
Dami Erro,2,2024-07-05 08:02:09,Percobaan
Anita Yunita,5,2024-07-05 03:06:40,bagus sekali terus tingkatkan ya
Nurma Maha Bayu,2,2024-07-05 03:01:28,"Sering banget sekarang instagram sy di suspend, padahal jarang banget posting"
Jamal Ika,4,2024-07-05 02:53:19,Suka dengan berita dari facebook
ADI SUDRADJAT,5,2024-07-05 00:53:27,"Aplikasi keren,"
peristiwa channel,5,2024-07-05 00:38:10,amazing
Suriana Xie,5,2024-07-04 23:29:11,Apa gara-gara aku sering komentar di threads jadi akun IGku sering sekali ditangguhkan? 😭😭😭
Supardi Lmg Channel,5,2024-07-04 23:29:00,Bagus sekali
Dian Ermawan,5,2024-07-04 18:12:54,keren banget 👍🌹🌹🌹🌹🙏🙏🙏🙏
Agung Sardono,5,2024-07-04 18:06:37,God god
Ahmad Rivai,5,2024-07-04 17:36:22,Bagus
Tiaap23 1188,1,2024-07-04 17:18:28,Baru instal suruh apdate
Rasidi Sidi,5,2024-07-04 14:55:48,mantap
Saskia Najuwa,4,2024-07-04 13:45:48,"Saran saya, berikan izin untuk pengguna akun private untuk memberikan komentar kepada postingan lain! overall saya nyaman dengan aplikasi ini"
DANDI R RAMDANI,2,2024-07-04 13:37:45,Ribet
Ummi Zuhriah,5,2024-07-04 13:36:51,"Suka banget ,karena apresiasi para pengguna begitu menyenangkan"
gupran jayadi,5,2024-07-04 13:16:35,memuaskan
Salsa Dila,5,2024-07-04 12:47:28,"Ramah ramah, seru, asik, menyenangkan"
Undang Solihin,5,2024-07-04 12:27:22,"Terimakasih Threads, an Instagram...? 🇮🇩🙏⭐⭐⭐⭐⭐🙏🇮🇩"
Ifa Nizma,2,2024-07-04 12:16:30,Tolong di perbaiki lagi aplikasinya karena banyak pengguna threads keluhkan penangguhan instagram setelah menggunakan threads
Fatim Aracan,5,2024-07-04 11:23:52,Boleh aja
Atik Muslimah,3,2024-07-04 11:20:55,Belum bisa di download
Jihan Qorira,2,2024-07-04 06:05:07,Jangan main ini kalo akun Instagram kalian mau aman
Jen riyan,5,2024-07-04 04:40:13,Lupa katasandi
raden rahmatullah,5,2024-07-04 02:29:44,Yes oke👍
Aagustin Agustin yani,5,2024-07-03 19:05:15,Aplikasi
Bernadt Beer,4,2024-07-03 18:17:04,ok az
Mustakhfirin Ramadhan,5,2024-07-03 16:20:20,😎👍👍👍
Alghifary,5,2024-07-03 15:56:10,Baguss
Theny 87,5,2024-07-03 14:53:14,mantap
Siti Lailatul,5,2024-07-03 14:01:48,Bagusss banget karna apk ini akun ig gue yg ilang balik lagi
Black Wido,5,2024-07-03 13:58:45,aplikasi yang sempurna untuk promosi produk atau kehidupan sehari-hari menjadi kreator di aplikasi ini dengan mudah dan cepat
Si Gondolz,5,2024-07-03 13:43:35,PLIS JANGAN DIKASIH IKLAN... UNTUK SAAT INI UDAH BAGUSSS
Vivo Medan,4,2024-07-03 13:28:37,Bagus
Nur Nafingah,2,2024-07-03 12:44:19,"Nggak bisa hapus postingan , nggak bisa edit postingan . Masih banyak kurangnya . Coba di upgrade lagi"
muamar kadapi,5,2024-07-03 08:35:21,Ketak - ketik tiap hari 🤭
yudi kristono,5,2024-07-03 07:56:16,Bagus
Sanusi san san,5,2024-07-03 03:59:51,👏🏻👏🏻👏🏻
Baja Tama,5,2024-07-03 02:33:05,Asik
Listiono,4,2024-07-03 02:26:36,Cukup bagus
Shita Nurma,3,2024-07-02 23:51:00,😟 Please Threads 😟Bissa Simpan Video Donk Please Bissa Save Video Donk DiGaLeri😟
Sufyan Tsauri,1,2024-07-02 22:46:23,"aplikasi jelek, ig gua gabisa masuk"
Sri Satya Budi Atyani,4,2024-07-02 21:37:20,"Bisa tidak ya? Nonaktifkan instagram, tapi thread masih aktif?"
Wak Becak,1,2024-07-02 19:54:29,BAYAR
Jessi martino tjiptoning,5,2024-07-02 18:00:46,Bagus
Alfarishi Aisnur,5,2024-07-02 17:19:22,Ayudkf Yha ozy oy PP surya ye Org ksgs
Putra Tarantula,5,2024-07-02 17:15:55,Ok
MAEL GZ,5,2024-07-02 16:36:08,"hallo admin! sejauh ini aplikasi threads ini sangat menghibur sekali, terlebih pada postingan yang bertemakan komedi.Sayangnya ada sebuah kekurangan yang mungkin kita butuhkan yaitu kita tidak dapat membaca komentar pembaca lain terhadap postingan,saya memohon sekaligus meminta supaya pembaca dapat membaca komentar, Terimakasih."
neyla NW,5,2024-07-02 16:27:47,nice
savaarr,4,2024-07-02 11:04:27,oke
Siska Rindyani,5,2024-07-02 10:38:49,"sangat menghibur,punya banyak teman"
mahardika channel,5,2024-07-02 10:09:47,Bagus kak jadi pengen terus
Rama Suryadi,4,2024-07-02 09:30:30,Hanya belum mengerti kelebihan apa yang dimiliki Threadd
Selamat,4,2024-07-02 08:11:55,Baik
Google Googling,5,2024-07-02 04:15:40,Hallo meta.. sejauh ini saya menggunakan threads baik baik saja tapi sebulan terakhir fitur hapus utas (titik tiga) di akun saya menghilang jadi saya kerepotan unyuk menghapus utas saya. Mohon di perbaiki. Saya sangat kesulitan.
Yugo Prasetyo,5,2024-07-02 03:22:04,Keren asli..pengalaman baru
Eligius blido Namang,5,2024-07-02 02:18:21,bagus
HUDI PRAYOGA,5,2024-07-02 01:13:58,Tambahin konten 18+ dong
Alexs,5,2024-07-01 22:37:08,good luck
Reza 2024,5,2024-07-01 19:08:42,mantap
Ketut adiana,5,2024-07-01 19:02:48,Sangat bangus
Adi Efendi,5,2024-07-01 15:09:34,Bugis
Albert Rizky,5,2024-07-01 13:06:31,Lumayan
NENENG YUHANISAH,5,2024-07-01 13:05:49,Aplikasinya lmyn bgs
Arief tata,5,2024-07-01 11:25:31,Good
File 21,5,2024-07-01 11:13:54,Bagus juga
Hans Powel,5,2024-07-01 10:17:59,⭐⭐⭐⭐⭐
Mail Rachman,4,2024-07-01 09:12:17,"bagus, but.. kurang komunikatif aja"
Andre Wuarlela,5,2024-07-01 08:33:15,cukup bagus untuk bisa menulis segala ide dan pikiran sekaligus gagasan
Abang Medan,5,2024-07-01 07:19:46,is the best application
Nayla Kiasaty,5,2024-07-01 06:54:32,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
Gesit Maulansyah,4,2024-07-01 06:18:54,semoga bagus terus
Anca Ferdiansya,5,2024-07-01 05:15:55,Aplikasi nya bagus 👍
Anika Khan,4,2024-07-01 05:06:41,Sejauh ini masih bagus app ini tidak ada masalah semoga lebih baik saja
ZL Fan,1,2024-07-01 00:52:31,"Tombol hapus ilang yang bisa titik-titik di kanan atas postingan, aplikasi rusak"
Hendrick,5,2024-06-30 18:59:40,Kurang suka
Kiki Husen,3,2024-06-30 18:36:06,Bagus
Vamberrino Susain (Rino),5,2024-06-30 17:45:46,Bagus
Ff Gamrusak,5,2024-06-30 15:47:57,keren bro dapet konten gw
Yopi Oktora,5,2024-06-30 15:41:36,ok banget
Imam Hidayat Hrp,5,2024-06-30 13:34:12,seru juga cari sahabt
Jamal Tanniewa,5,2024-06-30 13:15:10,Semoga bermanfaat 🤲
Lia Darliati,5,2024-06-30 08:01:51,Mantap
Pak B,4,2024-06-30 06:09:34,Bagus
Yudo Wintarto,1,2024-06-30 05:00:46,"ga pernah posting ga pernah coment, tiba tiba ke banned 80 hari, yasudah sekalian uninstal aja..."
ETHIS Malang,5,2024-06-30 03:58:49,Lebih banyak mendapatkan informasi
Ibnu Yuswan,1,2024-06-30 00:38:44,"Aplikasi gak jelas,komen gak ada yg sarkas.malah kena Bane ..produk yahudi emang menyebalkan.komen positif malah dibane,komen esek2 malah aman.aplikasi sampah."
Asril Laahen,1,2024-06-29 18:49:33,nice
Ignatius Sutrisno,4,2024-06-29 17:40:06,Kok banyak iklan males aku jadinya.
ABIYU PARFUME,3,2024-06-29 17:20:12,Belum ada pengalaman
arifah arifin,5,2024-06-29 17:17:52,Masya Allah 💦
Ade Feri Ramdon S.S,5,2024-06-29 16:30:42,tambah sedulur... ayo saling follow.
Kharisa Maudi putri,5,2024-06-29 11:30:49,"Baguss aplikasinya bisa simpen foto apa aja suka banget aplikasi itu, suka banget sama aplikasi ini, seruu aplikasi itu 🤩👍🏻"
yabunayya jakarta,5,2024-06-29 09:56:09,Bagus. Inovatif
Jane Ariyani Putri,3,2024-06-29 07:01:55,kenapa suka lag gt?
giska oselia,5,2024-06-29 05:30:07,sukaaaa bgtttt sama apk nyaaaaa
lino sidabutar,5,2024-06-29 04:29:55,Semoga data kami tetap aman
EgyIQgnasziuss EgyIQgnasziuss,5,2024-06-29 04:22:41,sangat bagus
Rahma Lusiana,3,2024-06-29 02:29:45,"- Durasi rekam suara dipanjangin kalo bisa, biar bisa posting cover song satu lagu penuh. - Terus pas rekam suara nih kalo misal dibiarin sampe selesai tanpa pencet itu malah rekamannya jadi hilang sendiri, jadinya tidak tersimpan. - Tombol save threads dideketin barengan sama tombol like dan posting ulang biar gampang."
suhendi suhendi,5,2024-06-28 19:49:27,good
Afisa Vivo,5,2024-06-28 17:09:15,Bsgus
Dilan,4,2024-06-28 15:17:21,keren ni aplikasi bisa nyambung sama ig cmn ndk tau chat caranya chat di sini gimana
Erwina Dwiyani,5,2024-06-28 14:38:45,kyk nya pd nyaman ya curhat di sini
Hafsya Anugrah,3,2024-06-28 14:26:02,👍🏻
Suprianto Santo,3,2024-06-28 11:49:18,Baru. Cobasi
Queen Sandra,1,2024-06-28 07:53:19,Apa² di batasi. Ga seru
Hasanah sanex Sanex,5,2024-06-28 07:23:57,sangat menyukai ini di sini saya bisa ungkap kan apa yg saya rasa kan hingga saya menjadi lebih tenang
Anika Angella,3,2024-06-28 05:37:18,Kenapa tiba tiba kaya tidak terdaftar gitu ya...
Bayu Ardiansyah,1,2024-06-28 05:33:50,BAPERAN AMAT ANJJJ JADI DEVELOPER
Ujang Unchoel,5,2024-06-28 05:25:36,Mencoba gunakan thread
Dragon Nezer,3,2024-06-28 00:43:08,mo upload video kok gk bisa skrg
Ice Kurniawati,5,2024-06-28 00:38:40,bagus
Hardi Wins,5,2024-06-28 00:34:22,Keren
Al Putra,1,2024-06-27 23:38:29,susah dapat like postingannya
Spirit of wonder,1,2024-06-27 22:51:30,Kenapa ketika mau mengikuti atau pun berkomentar tidak bisa tolong di perbaiki
NSN ICHA OFFICIAL,1,2024-06-27 17:43:31,Awal mula bencana rumah tangga. Naudzubillah. Jangan di instal
Bez Skyper,1,2024-06-27 17:04:53,Sering membatasi komentar
Andira Kembar,5,2024-06-27 15:48:52,opsional
Rus Pasundan,5,2024-06-27 10:15:14,Sangat bermamfaat
dedi gaek,5,2024-06-27 07:32:17,mantabs
Dessy Puspita,5,2024-06-27 07:30:34,Trending
Wili Andiansyah,5,2024-06-27 04:56:58,asik
Iwan Handoko (Albertus),4,2024-06-27 02:14:20,Menyukai
Muhammad Rajab,5,2024-06-27 01:18:35,Baguss
L XL,5,2024-06-27 00:17:28,"Threads, an lnstagra..."
icmikota tangsel,5,2024-06-26 23:38:19,Top deh
